iter	Passed	Remaining
524	25741	23289
525	25764	23217
526	25787	23144
527	25798	23062
528	25820	22989
529	25839	22914
530	25880	22858
531	25929	22810
532	25957	22743
533	25967	22660
534	25990	22590
535	26019	22523
536	26041	22452
537	26053	22373
538	26069	22296
539	26119	22250
540	26145	22182
541	26167	22112
542	26180	22034
543	26208	21968
544	26234	21902
545	26256	21832
546	26279	21763
547	26291	21686
548	26337	21635
549	26347	21557
550	26370	21488
551	26392	21419
552	26402	21341
553	26426	21275
554	26453	21210
555	26474	21141
556	26487	21066
557	26515	21003
558	26540	20938
559	26564	20871
560	26584	20803
561	26594	20726
562	26618	20661
563	26638	20593
564	26651	20519
565	26672	20452
566	26694	20386
567	26706	20312
568	26737	20252
569	26758	20185
570	26778	20119
571	26793	20048
572	26833	19996
573	26886	19954
574	26939	19911
575	26969	19852
576	26990	19786
577	27022	19729
578	27061	19676
579	27090	19617
580	27134	19568
581	27170	19513
582	27191	19448
583	27219	19389
584	27251	19332
585	27303	19289
586	27333	19231
587	27385	19188
588	27417	19131
589	27455	19078
590	27480	19017
591	27527	18971
592	27566	18919
593	27589	18857
594	27610	18793
595	27640	18735
596	27667	18676
597	27681	18608
598	27707	18548
599	27733	18488
600	28068	18634
601	28207	18648
602	28301	18633
603	28431	18640
604	28471	18588
605	28581	18582
606	28644	18545
607	28722	18518
608	28749	18458
609	28783	18402
610	28869	18380
611	28896	18319
612	28948	18276
613	28974	18214
614	29010	18161
615	29039	18102
616	29067	18043
617	29098	17986
618	29130	17930
619	29162	17873
620	29216	17831
621	29291	17800
622	29321	17743
623	29353	17687
624	29432	17659
625	29466	17604
626	29502	17550
627	29530	17492
628	29570	17441
629	29605	17387
630	29633	17329
631	29663	17272
632	29691	17214
633	29722	17158
634	29750	17100
635	29806	17058
636	29946	17065
637	29981	17011
638	30034	16968
639	30072	16915
640	30153	16887
641	30239	16862
642	30291	16818
643	30370	16788
644	30424	16745
645	30437	16679
646	30487	16633
647	30516	16577
648	30545	16520
649	30576	16464
650	30623	16417
651	30651	16359
652	30674	16300
653	30687	16235
654	30718	16179
655	30947	16228
656	31002	16185
657	31113	16171
658	31175	16131
659	31240	16093
660	31290	16047
661	31379	16021
662	31442	15982
663	31516	15948
664	31613	15925
665	31662	15878
666	31726	15839
667	31776	15793
668	31821	15744
669	32026	15774
670	32077	15727
671	32306	15768
672	32338	15712
673	32388	15665
674	32530	15662
675	32583	15617
676	32612	15559
677	32648	15505
678	32676	15448
679	32754	15413
680	32787	15358
681	32839	15312
682	32893	15266
683	32926	15211
684	32957	15155
685	33011	15110
686	33040	15053
687	33067	14995
688	33091	14936
689	33117	14878
690	33145	14821
691	33167	14762
692	33206	14710
693	33237	14655
694	33281	14605
695	33292	14541
696	33314	14482
697	33337	14423
698	33351	14361
699	33376	14304
700	33420	14254
701	33449	14199
702	33478	14143
703	33504	14086
704	33516	14024
705	33540	13967
706	33560	13908
707	33571	13846
708	33601	13791
709	33645	13742
710	33672	13686
711	33684	13625
712	33706	13567
713	33730	13510
714	33742	13449
715	33765	13392
716	33787	13335
717	33800	13275
718	33844	13227
719	33856	13166
720	33878	13109
721	33889	13048
722	33911	12992
723	33932	12935
724	33946	12876
725	33960	12817
726	34003	12768
727	34029	12714
728	34060	12661
729	34090	12608
730	34111	12552
731	34142	12500
732	34168	12446
733	34192	12391
734	34205	12332
735	34251	12285
736	34262	12226
737	34288	12172
738	34310	12117
739	34331	12062
740	34342	12003
741	34368	11950
742	34389	11895
743	34400	11836
744	34425	11783
745	34449	11729
746	34470	11674
747	34485	11618
748	34507	11564
749	34529	11509
750	34539	11451
751	34564	11398
752	34588	11345
753	34614	11293
754	34650	11244
755	34673	11190
756	34695	11137
757	34709	11081
758	34756	11035
759	34766	10978
760	34793	10927
761	34820	10875
762	34849	10824
763	34877	10773
764	34923	10728
765	34946	10675
766	34990	10629
767	35017	10578
768	35047	10527
769	35074	10476
770	35123	10432
771	35153	10382
772	35183	10331
773	35206	10279
774	35231	10228
775	35258	10177
776	35269	10122
777	35292	10070
778	35322	10020
779	35349	9970
780	35370	9918
781	35381	9863
782	35407	9812
783	35428	9761
784	35439	9706
785	35454	9652
786	35476	9601
787	35504	9552
788	35534	9502
789	35555	9451
790	35569	9398
791	35582	9344
792	35607	9294
793	35633	9245
794	35654	9194
795	35667	9140
796	35679	9087
797	35708	9038
798	35732	8988
799	35752	8938
800	35763	8885
801	35789	8835
802	35815	8786
803	35840	8737
804	35862	8687
805	35872	8634
806	35927	8592
807	35950	8542
808	35972	8492
809	35982	8440
810	36003	8390
811	36013	8338
812	36034	8288
813	36056	8238
814	36067	8187
815	36097	8139
816	36152	8097
817	36164	8046
818	36187	7997
819	36215	7949
820	36223	7897
821	36246	7848
822	36271	7800
823	36281	7749
824	36306	7701
825	36337	7654
826	36358	7605
827	36372	7555
828	36385	7505
829	36406	7456
830	36418	7406
831	36438	7357
832	36447	7307
833	36469	7258
834	36479	7208
835	36505	7161
836	36537	7115
837	36559	7067
838	36568	7017
839	36591	6969
840	36612	6922
841	36622	6872
842	36643	6824
843	36654	6775
844	36679	6728
845	36699	6680
846	36714	6632
847	36738	6585
848	36757	6537
849	36767	6488
850	36789	6441
851	36798	6392
852	36821	6345
853	36844	6298
854	36854	6250
855	36879	6204
856	36889	6155
857	36914	6109
858	36938	6063
859	36958	6016
860	36970	5968
861	36989	5921
862	37000	5873
863	37023	5827
864	37051	5782
865	37094	5739
866	37122	5694
867	37146	5649
868	37169	5603
869	37198	5558
870	37209	5510
871	37232	5465
872	37265	5421
873	37290	5375
874	37319	5331
875	37346	5286
876	37357	5239
877	37373	5193
878	37392	5147
879	37405	5100
880	37427	5055
881	37449	5010
882	37459	4963
883	37481	4918
884	37492	4871
885	37515	4826
886	37541	4782
887	37563	4737
888	37575	4691
889	37600	4647
890	37609	4600
891	37636	4556
892	37665	4513
893	37683	4468
894	37699	4422
895	37723	4378
896	37746	4334
897	37787	4292
898	37810	4247
899	37842	4204
900	37863	4160
901	37891	4116
902	37904	4071
903	37928	4027
904	37960	3984
905	37981	3940
906	37992	3895
907	38021	3852
908	38044	3808
909	38068	3765
910	38079	3720
911	38104	3676
912	38130	3633
913	38152	3589
914	38181	3546
915	38192	3502
916	38211	3458
917	38222	3414
918	38246	3370
919	38255	3326
920	38269	3282
921	38289	3239
922	38299	3195
923	38318	3151
924	38351	3109
925	38377	3066
926	38388	3023
927	38408	2979
928	38419	2936
929	38444	2893
930	38466	2850
931	38500	2809
932	38523	2766
933	38535	2723
934	38548	2679
935	38568	2637
936	38607	2595
937	38628	2553
938	38651	2510
939	38666	2468
940	38690	2425
941	38717	2383
942	38742	2341
943	38753	2298
944	38779	2257
945	38800	2214
946	38811	2172
947	38833	2130
948	38841	2087
949	38867	2045
950	38886	2003
951	38896	1961
952	38918	1919
953	38942	1877
954	38954	1835
955	38982	1794
956	39001	1752
957	39012	1710
958	39034	1668
959	39060	1627
960	39073	1585
961	39095	1544
962	39104	1502
963	39126	1461
964	39136	1419
965	39162	1378
966	39176	1336
967	39197	1295
968	39219	1254
969	39231	1213
970	39249	1172
971	39259	1130
972	39278	1089
973	39289	1048
974	39311	1007
975	39324	966
976	39351	926
977	39372	885
978	39381	844
979	39408	804
980	39440	763
981	39461	723
982	39471	682
983	39499	642
984	39524	601
985	39558	561
986	39585	521
987	39607	481
988	39637	440
989	39648	400
990	39673	360
991	39699	320
992	39724	280
993	39777	240
994	39788	199
995	39809	159
996	39832	119
997	39845	79
998	39873	39
999	39897	0
